Lat,Lon,source
23.500423,120.13579,gbif
23.451384,120.19255,gbif
22.49418,114.03655,gbif
24.81403,121.80388,gbif
23.275375,120.10363,gbif
23.271555,120.128365,gbif
23.073122,120.06793,gbif
22.45974,114.03684,gbif
22.429996,120.50201,gbif
23.87369,120.296936,gbif
23.364443,120.17398,gbif
30.241926,119.75857,gbif
23.32689,120.170685,gbif
23.44089,120.16879,gbif
23.549068,120.1839,gbif
23.494173,120.15085,gbif
23.396057,120.195816,gbif
24.476171,118.30999,gbif
23.290522,120.16484,gbif
23.334074,120.16891,gbif
23.500423,120.13579,gbif
23.493502,120.12208,gbif
23.334074,120.16891,gbif
22.494017,114.04039,gbif
22.440025,120.4952,gbif
31.364803,104.81215,gbif
23.500423,120.13579,gbif
24.465052,118.305145,gbif
23.500423,120.13579,gbif
24.015186,120.37167,gbif
22.853893,115.5347,gbif
22.438223,120.49155,gbif
22.49418,114.03655,gbif
23.32689,120.170685,gbif
22.515017,113.99358,gbif
22.522419,114.00032,gbif
23.568365,120.16462,gbif
24.4304,118.24637,gbif
24.02748,120.37864,gbif
23.32382,120.12027,gbif
22.508831,114.113335,gbif
23.335327,120.16644,gbif
22.49418,114.03655,gbif
23.336628,120.16603,gbif
23.206758,120.09906,gbif
23.34389,120.16646,gbif
23.53264,120.1638,gbif
30.920507,121.97316,gbif
23.03654,120.098045,gbif
22.884272,120.19492,gbif
30.920507,121.97316,gbif
23.519913,120.17625,gbif
23.321577,120.170715,gbif
36.146683,120.13,gbif
23.493502,120.12208,gbif
30.920507,121.97316,gbif
22.884901,120.19819,gbif
23.495245,120.12165,gbif
22.709536,121.08962,gbif
23.092333,120.115456,gbif
23.500423,120.13579,gbif
23.508446,120.14719,gbif
24.83647,121.811356,gbif
24.46801,118.30366,gbif
22.884901,120.19819,gbif
22.439035,120.4894,gbif
23.17213,120.13404,gbif
23.494173,120.15085,gbif
22.955053,120.18195,gbif
23.202908,120.104836,gbif
23.044548,120.079666,gbif
23.601826,120.16197,gbif
23.500423,120.13579,gbif
23.318516,120.14895,gbif
23.03988,120.10153,gbif
23.500423,120.13579,gbif
22.884813,120.18983,gbif
22.49418,114.03655,gbif
22.439035,120.4894,gbif
22.508831,114.113335,gbif
23.34249,120.151955,gbif
22.884901,120.19819,gbif
23.494173,120.15085,gbif
23.500423,120.13579,gbif
23.379505,120.21112,gbif
23.359236,120.18269,gbif
23.339458,120.15109,gbif
23.32689,120.170685,gbif
22.884901,120.19819,gbif
24.803747,121.80181,gbif
23.323431,120.21236,gbif
23.508446,120.14719,gbif
23.358416,120.16768,gbif
24.4304,118.24637,gbif
23.332016,120.171135,gbif
24.021084,120.37472,gbif
22.49418,114.03655,gbif
24.476171,118.30999,gbif
